singular;plural;gender;english singular;english plural;level;lesson;tags
Herz;Herzen;das;heart;hearts;a2.1;8;
Krankheit;Krankheiten;die;illness;illnesses;a2.1;8;
Magen;Mägen;der;stomach;stomachs;a2.1;8;
Operation;Operationen;die;operation;operations;a2.1;8;
Sprechstunde;Sprechstunden;die;consultation;consultation;a2.1;8;
Untersuchung;Untersuchungen;die;examination;examinations;a2.1;8;
Verband;Verbände;der;association;associations;a2.1;8;
Satz;Sätz;der;sentence;sentences;a2.1;8;
Sorge;Sorgen;die;concern;concerns;a2.1;8;
Wahrheit;Wahrheiten;die;truth;truths;a2.1;8;
Aufgabe;Aufgaben;die;task;tasks;a2.2;13;
Klasse;Klassen;die ;class;classes;a2.2;13;
Nachrichten;Nachrichten;die;message;messages;a2.2;13;
Semester;Semester;das;semester;semesters;a2.2;13;
Test;Tests;der;test;tests;a2.2;13;
Typ;Typen;der;type;types;a2.2;13;
Volkshochschule;Volkshochschulen;die;community college;community colleges;a2.2;13;
Gegenwart;;die;present;;a2.2;13;
Vergangenheit;;die;past;;a2.2;13;
Redemittel;Redemittel;das;useful phrase;useful phrases;a2.2;14;
Absender;Absender;der;sender;sender;a2.2;14;
Briefkasten;Briefkästen;der;envelope;envelopes;a2.2;14;
Empfänger;Empfänger;der;receiver;receiver;a2.2;14;
Päckchen;Päckchen;das;package;package;a2.2;14;
Paket;Pakete;das;package;package;a2.2;14;
Schalter;Schalter;der;counter;counters;a2.2;14;
Creme;Cremes;die;cream;creams;a2.2;14;
Gesicht;Gesichter;das;face;faces;a2.2;14;
Junge;Jungen;der;boy;boys;a2.2;14;
Mädchen;Mädchen;das;girl;girls;a2.2;14;
Projekt;Projekte;das;project;projects;a2.2;14;
Schrift;Schrifte;der;font;fonts;a2.2;14;
Tafel;Tafeln;die;tablet;tablets;a2.2;14;
Zentimeter;Zentimeter;der;centimeter;centimeter;a2.2;14;
DVD;DVDs;die;DVD;DVDS;a2.2;15;
Folge;Folgen;die;episode;episodes;a2.2;15;
Krimi;Krimis;der;crime show;crime shows;a2.2;15;
Programm;Programme;das;program;programs;a2.2;15;
Rundfunk;;der;broadcast;broadcasts;a2.2;15;
Sender;Sender;der;station;stations;a2.2;15;
Sendung;Sendungen;die;broadcast;broadcasts;a2.2;15;
Serie;Serien;die;TV series;TV series;a2.2;15;
Spielfilm;Spielfilme;der;movie;movies;a2.2;15;
Video;Videos;das;video;videos;a2.2;15;
Zuschauer;Zuschauer;der;viewer;viewers;a2.2;15;
Anzug;Anzüge;der;suit;suits;a2.2;15;
Fahrplan;Fahrpläne;der;schedule;schedules;a2.2;15;
Gegend;Gegenden;die;region;regions;a2.2;15;
Kinderwagen;Kinderwagen;der;stroller;strollers;a2.2;15;
Parfüm;Parfüme;das;perfume;perfumes;a2.2;15;
Rose;Rosen;die;rose;roses;a2.2;15;
Topf;Töpfe;der;pot;pots;a2.2;15;
Abflug;Abflüge;der;departure;departures;a2.2;24;
Anschluss;Anschlüsse;der;connection;connections;;24;
Impfung;Impfungen;die;vaccination;vaccinations;;24;
Konsulat;Konsulate;das;consulate;consulates;;24;
Kontrolle;Kontrollen;die;control;controls;;24;
Pass;Pässe;der;passport;passes;;24;
Verspätung;Verspätungen;die;delay;delays;;24;
Visum;Visa;das;visa;Visa;;24;
Zoll;Zölle;der;inch;duties;;24;
Apartment;Apartments;das;apartment;apartments;;24;
Erinnerung;Erinnerungen;die;memory;memories;;24;
Geburt;Gebruten;die;birth;Gebruten;;24;
Kenntnis;Kenntnisse;die;knowledge;expertise;;24;
Zuhause;;das;At home;;;24;
Zukunft;;die;future;;;24;
Abitur;;das;High School;;;23;
Berufsschule;Brefufsschulen;die;professional school;professional schools;;23;
Fachhochschule;Fachhochschulen;die;University of Applied Sciences;Universities of Applied Sciences;;23;
Gesamtschule;Gesamtschulen;die;comprehensive school;comprehensive schools;;23;
Grundschule;Grundschulen;die;primary school;primary schools;;23;
Gymnasium;Gymnasien;das;high school;high schools;;23;
Hauptschule;Hauptschulen;die;secondary schools;secondary schools;;23;
Lehre;Lehren;die;teaching;teachings;;23;
Note;Noten;die;grade;grades;;23;
Realschule;Realschulen;die;secondary school;secondary schools;;23;
Zeugnis;Zeugnisse;das;testimony;testimonies;;23;
Bewerung;Bewerungen;die;Bewerung;Bewerungen;;23;
Einkommen;Einkommen;das;income;income;;23;
Kündigung;Kündigungen;die;termination;terminations;;23;
Praktikant;Praktikanten;der;intern;interns;;23;
Tätigkeit;Tätigkeiten;die;activity;activities;;23;
Laune;Launen;die;mood;whims;;23;
Thema;Themen;das;theme;subjects;;23;
Anmeldung;Anmeldungen;die;registration;Registrations;;22;
Buchstabe;Buchstaben;der;Letter;letters;;22;
Chipkarte;Chipkarten;die;smart card;smart cards;;22;
Passwort;Passwörte;das;password;passwords;;22;
Vertrag;Verträge;der;contract;contracts;;22;
Zahl;Zahlen;die;number;numbers;;22;
Fahrkarte;Fahrkarten;die;ticket;tickets;;22;
Mitglied;Mitglieder;das;member;members;;22;
Organisation;Organisationen;die;organization;organizations;;22;
Steuer;Steurn;die;tax;Steurn;;22;
Umwelt;;die;environment;;;22;
Ziel;Ziel;das;aim;aim;;22;
Ausweis;Ausweise;der;ID card;ID cards;;21;
Bargeld;;das;Cash;;;21;
EC-Karte;EC-Karten;die;EC card;debit cards;;21;
Telefonkarte;Telefonkarten;;phone card;phone Cards;;21;
Gesundheitskarte;Gesundheitskarten;die;Health card;Health cards;;21;
Feuerwehr;Feuerwerhen;die;fire Department;Feuerwerhen;;21;
Polizist;Polisitzin;die;police officer;Polisitzin;;21;
Täter;Tätern;der;offender;offenders;;21;
Versicherung;Versicherungen;die;insurance;Insurance;;21;
Zeuge;Zeugen;der;witness;witnesses;;21;
Glühbirne;Glühbirnen;die;light bulb;light bulbs;;21;
Hammer;Hammer;der;hammer;hammer;;21;
Liste;Listen;die;list;lists;;21;
Strom;;der;electricity;;;21;
Titel;Titel;der;title;title;;21;
Autor;Autoren;der;author;authors;;20;
Autorin;Autorinnen;die;author;authors;;20;
Bilderbuch;Bilderbücher;das;Picture book;picture books;;20;
Comic;Comics;das;comic;comics;;20;
Hörbuch;Hörbücher;das;audiobook;audio books;;20;
Kinderbuch;Kinderbücher;das;children's book;children's books;;20;
Literatur;;die;literature;;;20;
Märchen;Märchen;das;fairy tale;fairy tale;;20;
Ratgeber;Ratgeber;der;counselor;counselor;;20;
Roman;Romane;der;novel;novels;;20;
Sachbuch;Sachbücher;das;non-fiction book;non-fiction books;;20;
Zeitschrift;Zeitschriften;die;magazine;magazines;;20;
Zeitung;Zeitungen;die;newspaper;newspapers;;20;
Alltag;;der;everyday life;;;20;
Bettdecke;Bettdecken;die;duvet;duvets;;20;
Interesse;Interessen;das;interest;Interests;;20;
Profi;Profis;der;professional;professionals;;20;
Verwandte;Verwandten;der;relative;relatives;;20;
Beginn;;der;beginning;;;19;
Club;Clubs;der;club;clubs;;19;
Publikum;;das;audience;;;19;
Spaziergang;Spaziergänge;der;walk;walks;;19;
Vorstellung;Vorstellungen;die;idea;imaginations;;19;
Liebe;;die;love;;;19;
Eis;;das;ice cream;;;18;
Gebiet;Gebiete;das;area;areas;;18;
Hauptstadt;Haupstädte;die;capital city;capitals;;18;
Hitze;;die;heat;;;18;
Jahreszeit;Jahreszeiten;die;season;seasons;;18;
Kälte;;die;cold;;;18;
Kontinent;Kontinente;der;continent;continents;;18;
Temperatur;Temperaturen;die;temperature;temperatures;;18;
Trockenheit;;die;dryness;;;18;
Tropfen;Tropfen;der;drops;drops;;18;
Wärme;;die;warmth;;;18;
Gegenteil;Gegenteile;das;opposite;opposites;;18;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
